Table I: Panel A Descriptive Statstics for All Stocks						
	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	N	mean	sd	p1	p50	p99
						
nprints	502,650.000	654.989	1,410.847	2.000	199.000	6,567.000
avg_price	502,650.000	2,017.784	2,856.200	97.325	1,413.503	10,267.282
avg_printsize	502,650.000	1,017.570	26,202.575	100.000	252.174	3,568.509
d_med_tw_size	502,650.000	167.693	2,775.991	100.000	100.000	600.000
d_med_vw_size	502,650.000	24,976.435	873,180.260	100.000	400.000	46,400.000
volatility	502,650.000	0.017	0.010	0.004	0.015	0.054
hundred_prc	502,650.000	0.599	0.170	0.192	0.606	1.000
thousand_prc	502,650.000	0.011	0.024	0.000	0.003	0.092
even_prc	502,650.000	0.908	0.090	0.605	0.935	1.000
dollarvol_in_1000	502,650.000	8,159.210	33,702.246	3.280	653.185	126,937.820
						
Number of ticker	163	163	163	163	163	163
